15:29:45.630006;DVAM1;2868819;I;SELL;2;35.50
15:29:46.050005;DVAM1;2868819;A;SELL;2;35.50
15:29:46.440006;DVAM1;2868819;A;SELL;2;35.40
15:29:47.040005;DVAM1;2868820;I;SELL;9;35.20
15:29:47.040005;DVAM1;2868821;I;BUY;6;34.50
15:29:48.880005;DVAM1;2868822;I;SELL;9;35.50
15:29:49.530005;TEST2;2868823;I;BUY;2;28.30
15:29:49.820005;DVAM1;2868820;C;SELL;9;35.20
15:29:49.820005;DVAM1;2868824;I;SELL;8;35.40
15:29:49.940005;DVAM1;2868825;I;BUY;4;34.70
15:29:50.590005;DVAM1;2868822;A;SELL;9;35.40
15:29:50.780005;DVAM1;2868825;C;BUY;4;34.70
15:29:53.250005;DVAM1;2868821;A;BUY;6;34.90
15:29:53.470005;DVAM1;2868819;C;SELL;2;35.40
15:29:53.650005;DVAM1;2868822;C;SELL;9;35.40
15:29:53.650005;DVAM1;2868824;C;SELL;8;35.40
15:29:53.650005;DVAM1;2868826;I;SELL;4;35.70
15:29:55.240005;DVAM1;2868826;A;SELL;1;36.00
15:29:55.620005;DVAM1;2868821;C;BUY;6;34.90
15:29:55.890005;DVAM1;2868827;I;SELL;18;35.80
15:29:55.970005;DVAM1;2868827;C;SELL;18;35.80
15:29:56.850005;DVAM1;2868828;I;SELL;571;35.70
15:29:58.120005;DVAM1;2868829;I;BUY;13;35.00
15:29:58.160005;DVAM1;2868829;C;BUY;13;35.00
15:29:59.730006;DVAM1;2868830;I;BUY;2;34.70
15:30:00.090205;DVAM1;2868828;C;SELL;5;35.60
15:30:00.210006;TEST2;2868831;I;SELL;26;43.20
15:30:00.560005;DVAM1;2868826;C;SELL;3;35.70
15:30:01.020005;DVAM1;2868830;A;BUY;6;34.80
15:30:01.170006;DVAM1;2868832;I;SELL;4;35.30
15:30:01.320006;DVAM1;2868830;C;BUY;6;34.80
15:30:01.470006;DVAM1;2868833;I;BUY;7;34.70
15:30:01.890006;DVAM1;2868833;C;BUY;7;34.70
15:30:01.950006;DVAM1;2868834;I;BUY;2;34.60
15:30:02.140006;DVAM1;2868832;A;SELL;9;35.80
15:30:02.350006;DVAM1;2868835;I;SELL;5;35.70
15:30:02.500006;DVAM1;2868832;C;SELL;9;35.80
15:30:03.890006;DVAM2;2868836;I;BUY;147;1.30
15:30:04.150006;DVAM2;2868836;C;BUY;4;1.30
15:30:04.840006;DVAM1;2868837;I;SELL;5;35.30
15:30:04.870006;DVAM2;2868838;I;BUY;3;1.30
15:30:05.010006;DVAM1;2868839;I;SELL;7;35.20
15:30:05.380006;DVAM1;2868834;C;BUY;2;34.60
15:30:05.550006;DVAM2;2868840;I;SELL;8;2.30
15:30:06.700006;DVAM1;2868835;C;SELL;5;35.70
15:30:07.750006;DVAM1;2868837;A;SELL;2;35.20
15:30:07.860006;DVAM1;2868841;I;BUY;71;34.50
15:30:08.760006;OTHER;2868842;I;SELL;4;16.80
15:30:09.010006;DVAM1;2868837;A;SELL;97;35.10
15:30:09.540006;DVAM1;2868837;C;SELL;97;35.10
15:30:09.890006;DVAM1;2868843;I;SELL;5;35.10
15:30:10.140006;DVAM1;2868844;I;BUY;8;34.40
15:30:10.730006;DVAM1;2868839;C;SELL;7;35.20
15:30:10.880006;OTHER;2868845;I;SELL;5;16.90
15:30:11.570006;DVAM1;2868843;C;SELL;5;35.10
15:30:11.790006;DVAM1;2868846;I;SELL;7;35.50
15:30:12.360007;DVAM1;2868847;I;BUY;6;34.50
15:30:12.420007;OTHER;2868842;C;SELL;4;16.80
15:30:12.790006;DVAM1;2868848;I;SELL;5;35.20
15:30:13.180007;DVAM1;2868846;A;SELL;41;35.30
15:30:14.380006;DVAM1;2868846;C;SELL;41;35.30
15:30:14.640006;DVAM1;2868849;I;SELL;7;35.30
